Destination Country,Donor,Recipient Organization,Emergency title,Response Plan/Appeal title,Project code,Emergency year,USD committed/contributed,USD pledged,Description,IASC Standard Sector,Original currency amount,Original currency unit,Decision date,Contribution status,Reported by
Region,Finland,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"1,168,996",0,(Region) Aid to victims of ebola virus outbreak,HEALTH,"920,000",EUR,10/16/14,Commitment,Donor
Region,Finland,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"374,332",0,(Region) Aid to victims of ebola epidemic in Western Africa,HEALTH,"280,000",EUR,8/18/14,Commitment,Donor
Region,Finland,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,0,"374,332",(Region) to provide humanitarian assistance for fight against the Ebola epidemic,HEALTH,"280,000",EUR,8/13/14,Pledge,Donor
Region,France,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"668,449",0,(Region) Contribuer au renforcement des plans de riposte sanitaire.,HEALTH,"500,000",EUR,8/27/14,Paid contribution,Donor and Agency
Region,General Electric,Partners in Health,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"2,000,000",0,"(regiona) training front line health workers and system strengthening programs for long term preparedness and response, in collaboration with Last Mile Health",HEALTH,,USD,9/24/14,Commitment,Donor
Region,Germany,Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"6,305,170",0,"(Region) Ebola Trust Fund (transnational Projects for Sierra Leone, Liberia and Guinea) (VN05 321.50 SLE 08/14)",HEALTH,"5,000,000",EUR,11/7/14,Commitment,Donor and Agency
Region,Germany,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"1,270,648",0,(Region) Ebola Response,HEALTH,"1,000,000",EUR,11/4/14,Paid contribution,Donor and Agency
Region,Germany,Plan International,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71111/5524,2014,"1,905,972",0,"(Region) Procurement and distribution of NFI/hygiene kits (chlorine, soap, toothpaste, bed linen, among other things) to foster families (if necessary also disinfection of toilets and households) (Liberia/ Guinea).Procurement and establishment of wash-hand stations and distribution of sanitary kits (incl. soap, chlorine etc.) to 500 public places (schools, market places, clinics, health centres etc.) (Liberia/Guinea). Provision of 6 water tanks (as well as weekly refilling) for 3 local health centres, which also take care of first reception of people infected with Ebola",HEALTH,"1,500,000",EUR,10/13/14,Commitment,Agency
Region,Germany,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"267,380",0,(Region) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,"200,000",EUR,10/3/14,Paid contribution,Agency
Region,Germany,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"12,032,086",0,(Region) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,"9,000,000",EUR,10/3/14,Paid contribution,Agency
Region,Germany,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"1,336,000",0,(Region) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,"1,000,000",EUR,8/31/14,Paid contribution,Agency
Region,Germany,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"553,250",0,"(Region) Guinea, Liberia and Sierra Leone through WHO EVD Outbreak Response",HEALTH,"400,000",EUR,5/31/14,Paid contribution,Agency
Region,Germany,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"27,834,754",(region) additional support to the Ebola crisis announced on October 17 (unallocated balance of 84.7 m euros),HEALTH,"20,820,397",EUR,10/17/14,Pledge,Donor
Region,GlaxoSmithKline,NGOs (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"215,591",0,"(Region) disease education and prevention efforts in each of the three countries; cost of purchasing and delivering personal protection equipment for front line healthcare workers (Americares, Direct Relief, Save the Children)",HEALTH,"130,000",GBP,9/17/14,Paid contribution,Donor
Region,GlaxoSmithKline,NGOs (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"829,197",0,"(Region) (in-kind) medical supplies for Liberia and Sierra Leone, including antibiotics to be delivered by AmeriCares and Project HOPE",HEALTH,"500,000",GBP,9/17/14,Paid contribution,Donor
Region,Google,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"10,000,000","(Region) Emergency donations to organizations working in countries most affected by the deadly virus. This contribution is towards InSTEDD,International Rescue Committee, Medecins Sans Frontieres, NetHope, Partners in Health, Save the Children andU.S. Fund for UNICEF",HEALTH,,USD,11/10/14,Pledge,Donor
Region,Google,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71276/7183,2014,0,"5,000,000","(Region) To match donations on a two-to-one basis, up to $5 million, made via Network for Good, with the goal of raising a total of $7.5 million. These will be for International Rescue Committee, Medecins Sans Frontieres, Partners in Health, and Save the Children (via donor advised fund Network for Good)",HEALTH,,USD,11/10/14,Pledge,Donor
Region,Greece,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"39,526",0,"(Region) A CONTRIBUTION TO THE IMPLEMENTING AGENCY OF UNITED NATIONS ""WORLD FOOD PROGRAMME"" FOR FINANCING SPECIFIC ACTIONS FOR THE RESPONSE TO THE EBOLA EPIDEMIC IN WEST AFRICA",FOOD,"30,000",EUR,9/16/14,Commitment,Donor
Region,Henry Schein Inc.,Centers for Disease Control Foundation,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"1,000,000","(Region) (inkind) Henry Schein's donations will include more than $1 million in masks, gloves and gowns, along with hand sanitizer, coveralls and other PPE. The CDC Foundation will receive $500,000 of this product, with the remainder donated to Henry Schein's strategic NGO (Non-Government Organization) partners providing relief, including AmeriCares, Direct Relief, International Medical Corps and Medshare. Henry Schein's response to the Ebola outbreak includes support from its supplier partners, including Crosstex International, Inc., KaVo Kerr Group, Medicom LLC and PDI Healthcare.",HEALTH,,USD,10/15/14,Pledge,Donor
Region,Hospital Corporation of America,Centers for Disease Control Foundation,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"1,000,000",0,(region) to help support international Ebola epidemic response efforts involving the CDC and their work with partners on the ground in West Africa,HEALTH,,USD,9/25/14,Paid contribution,Donor
Region,Hudson's Bay Company,Canadian Red Cross Society,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/SNYS/71570/5389,2014,0,"50,000","(Region) A donation match of up to $50,000 to the Canadian Red Cross in support of their efforts to combat the spread of the deadly Ebola virus and provide emergency response operations in the affected countries. The donation will benefit the West Africa Ebola Fund with funds raised through the HBC Foundation.",HEALTH,,USD,10/14/14,Pledge,Donor
Region,IBM,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,(Region) (In Kind) IBM has launched several initiaitives: 1) a citizen engagement and analytics system in Sierra Leone that enables communities affected by Ebola to communicate their issues and concerns directly to the government; 2) a donation of IBM Connections technology in Nigeria to strengthen the Lagos State government’s preparedness for future disease outbreaks; and 3) a global platform for sharing Ebola-related open data,HEALTH,,USD,10/27/14,Paid contribution,Donor
Region,Iceland,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"50,000",0,(Region) Ebola Response,HEALTH,,USD,10/15/14,Paid contribution,Agency
Region,IKEA Foundation,Médecins sans Frontières,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71118/5081,2014,0,"6,587,615","(region) support for patients and their families in Guinea, Liberia, Nigeria, Senegal, Sierra Leone and the Democratic Republic of the Congo.",HEALTH,"5,000,000",EUR,9/29/14,Pledge,Donor
Region,India,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"500,000",0,(Region) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,,USD,9/19/14,Paid contribution,Agency
Region,India,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"2,000,000",(region) (in-kind) protective gear,HEALTH,,USD,9/25/14,Pledge,Donor
Region,India,Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"10,000,000",0,(Region) Ebola Response Multi-Partner Trust Fund,HEALTH,,USD,9/25/14,Commitment,Donor
Region,Ireland,Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"1,261,034",0,(Region) Ebola Response Multi-Partner Trust Fund,HEALTH,,USD,11/4/14,Commitment,Agency
Region,Israel,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"20,000",0,(Region) Ebola response,FOOD,,USD,11/7/14,Paid contribution,Agency
Region,Israel,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,(Region) (in-kind) medical supplies to Ethiopia and public health and infectious disease experts to Cameroon to train on prevention and containment,HEALTH,,USD,10/14/14,Paid contribution,Donor
Region,Italy,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"3,786,531",(Region) Ebola response,HEALTH,"2,980,000",EUR,10/2/14,Pledge,Donor
Region,Italy,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"323,529",0,"(Region) Multilateral contribution: Support to WHO (on the basis of the “Ebola Response Roadmap” issued by the Organization) to stop the Ebola transmission in affected countries (Guinea Conakry, Liberia, Sierra Leone and Nigeria) and to reduce mortality in the affected population",HEALTH,"242,000",EUR,8/28/14,Commitment,Donor
Region,Japan,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"500,000",0,(Region) Ebola Response,HEALTH,,USD,10/7/14,Paid contribution,Donor and Agency
Region,Japan,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"850,000",0,(region) Ebola virus disease outbreak response plan in West Africa,HEALTH,"83,895,000",JPY,9/22/14,Paid contribution,Donor and Agency
Region,Japan,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,"(Region) emergency grant aid through the World Health Organization (WHO), United Nations Children’s Fund (UNICEF) and International Federation of Red Cross and Red Crescent Societies (IFRC) to support the Ebola virus disease outbreak response in West African countries including the Republic of Sierra Leone, the Republic of Liberia and the Republic of Guinea. (JPY 150 mn - fully allocated to specific organizations)",HEALTH,,JPY,8/15/14,Pledge,Donor
Region,Japan,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"3,869,350",(region) additional support to Ebola response (part of $40 million additional support announced on October 3),HEALTH,,USD,10/3/14,Pledge,Donor
Region,Japan,Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"5,940,000",0,(Region) Ebola Response Multi-Partner Trust Fund,HEALTH,,USD,11/11/14,Commitment,Agency
Region,Japan,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"667,995",0,(Region) Ebola response,FOOD,,USD,11/7/14,Paid contribution,Agency
Region,Japan,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71276/7183,2014,0,"18,000,000",(Region) Ebola response (part of $40 million additional support announced on October 3),HEALTH,,USD,10/3/14,Pledge,Donor
Region,Japan,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"294,660",0,(Region) Ebola response,FOOD,,USD,11/7/14,Paid contribution,Agency
Region,Japan,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"5,000,000",0,(Region) WHO - Ebola Virus Diseases Outbreak response in West Africa,HEALTH,,USD,10/3/14,Paid contribution,Donor and Agency
Region,Japan,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"1,000,000",0,(Region) Ebola response,FOOD,,USD,10/3/14,Paid contribution,Donor and Agency
Region,Japan,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"700,000",0,(Region) Regional EMOP - 200761 - Support to Populations in Areas Affected by the Ebola Outbreak in West Africa,FOOD,,USD,9/10/14,Paid contribution,Agency
Region,Japan,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,"(Region) (in-kind) 500,000 pieces of personal protective equipment",HEALTH,,USD,10/2/14,Pledge,Donor
Region,Japan,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/CSS/72256/561,2014,"2,000,000",0,(Region) Ebola response,COORDINATION AND SUPPORT SERVICES,,USD,10/3/14,Paid contribution,Agency
Region,Japan,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/CSS/72256/561,2014,"2,000,000",0,(Region) Ebola response,COORDINATION AND SUPPORT SERVICES,,USD,10/3/14,Paid contribution,Agency
Region,Japan,Office for the Coordination of Humanitarian Affairs,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"500,000",0,(Region) Emergency Grant Aid in response to the Ebola Virus (OCT 4624),COORDINATION AND SUPPORT SERVICES,,USD,10/9/14,Paid contribution,Donor and Agency
Region,Japan,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"300,000",0,Region - Ebola virus disease outbreak response plan in West Africa,HEALTH,,USD,4/30/14,Paid contribution,Agency
Region,Johnson & Johnson,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"1,000,000",0,(Region) (In-kind) Johnson & Johnson has donated $1 million to support partners providing the region with Personal Protective Equipment (PPE) and the training of health care providers.,HEALTH,,USD,11/4/14,Paid contribution,Donor
Region,JP Morgan Chase,UN Agencies and NGOs (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"300,000",(region) To help curtail the Ebola outbreak in West Africa (UNICEF and IRC),HEALTH,,USD,10/22/14,Pledge,Donor
Region,Kaiser Permanente,International Medical Corps,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71121/5160,2014,"500,000",0,(Region) To support direct medical care and treatment facilites,HEALTH,,USD,10/8/14,Paid contribution,Donor
Region,Kaiser Permanente,Médecins sans Frontières,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71118/5081,2014,"500,000",0,(Region) To support direct medical care and treatment facilites,HEALTH,,USD,10/8/14,Paid contribution,Donor
Region,Kazakhstan,Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"50,000",0,(region) Ebola Response Multi-Partner Trust Fund,HEALTH,,USD,10/17/14,Commitment,Other
Region,Kenya,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"1,000,000",(Region) Ebola crisis response,SECTOR NOT YET SPECIFIED,,USD,9/19/14,Pledge,Donor
Region,"Korea, Republic of",Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"5,000,000",0,(region) Ebola Response Multi-Partner Trust Fund,HEALTH,,USD,10/20/14,Paid contribution,Donor and Agency
Region,"Korea, Republic of",World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"50,000",0,Region - WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,,USD,4/30/14,Paid contribution,Agency
Region,"Korea, Republic of",World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"450,000",0,(Region) WHO - Ebola virus disease outbreak response plan in West Africa,HEALTH,,USD,8/20/14,Paid contribution,Agency
Region,Kuwait,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"5,000,000",0,(Region) WHO - Ebola virus disease outbreak response plan in West Africa,HEALTH,,USD,8/20/14,Paid contribution,Donor and Agency
Region,Larry Page's Family Foundation,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"15,000,000","(Region) To match donations on a two-to-one basis, up to $5 million, made via Network for Good, with the goal of raising a total of $7.5 million. These will be for International Rescue Committee, Medecins Sans Frontieres, Partners in Health, and Save the Children (via donor advised fund Network for Good)",HEALTH,,USD,11/10/14,Pledge,Donor
Region,Legatum Foundation,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"150,000",0,(region) contribution to the Ebola Crisis Fund managed by Capital for Good,HEALTH,,USD,9/3/14,Paid contribution,Donor
Region,Liechtenstein,Médecins sans Frontières,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71118/5081,2014,"52,632",0,(Region) Ebola response,HEALTH,"50,000",CHF,10/14/14,Paid contribution,Donor
Region,Luxembourg,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/CSS/72256/561,2014,"131,752",0,(Region) Contribution to UNHAS (AH/PAM/2014/0008),COORDINATION AND SUPPORT SERVICES,"100,000",EUR,9/29/14,Paid contribution,Donor and Agency
Region,Luxembourg,Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"248,940",0,(Region) Ebola Response Multi-Partner Trust Fund (MULTI/PNUD/2014/0007),HEALTH,"200,000",EUR,10/24/14,Paid contribution,Donor and Agency
Region,Luxembourg,Private (individuals & organisations),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"38,119",0,"(Region) ""Microbiology for Development"" project implemented by the national health laboratory and CRP-Santé in collaboration with The Lagos University Teaching Hospital",HEALTH,"30,000",EUR,10/28/14,Commitment,Donor
Region,Luxembourg,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"133,000",0,(Region) WHO - Ebola Virus Diseases Outbreak response in West Africa,,,,,,
Region,Luxembourg,United Nations High Commissioner for Refugees,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"317,662",0,(Region) Preventive measures to protect HCR staff and refugees in the camps (AH/HCR/2014/0012),HEALTH,"250,000",EUR,10/24/14,Commitment,Donor
Region,Malaysia,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,"(Region) (in-kind) 20.9 million rubber gloves for Sierra Leone, Guinea, Liberia, Nigeria and DRC",HEALTH,,USD,9/15/14,Pledge,Other
Region,Malta,Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"62,000",0,(Region) Ebola Response Multi-Partner Trust Fund,HEALTH,,USD,11/11/14,Commitment,Agency
Region,McKesson Corporation,World Vision International,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,"(REGION) (IN-KIND) McKesson has donated 200 pallets of medical supplies through World Vision, including 4 million pairs of latex gloves, 8,000 gallons of disinfectant, and a massive shipment of Personal Protective Equipment (PPE) kits.",HEALTH,,USD,9/22/14,Paid contribution,Donor
Region,McKesson Corporation,World Vision International,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"200,000",0,(Sierra Leone) (in-kind) 4 million pairs of medical gloves to help protect health workers in Africa from the deadly Ebola virus,HEALTH,,USD,9/19/14,Paid contribution,Donor
Region,Merck,German Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/SNYS/73143/5099,2014,0,"329,381",Fight against Ebola,HEALTH,"250,000",EUR,10/31/14,Pledge,Donor
Region,Mexico,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"1,000,000",0,(Region) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,,USD,10/31/14,Commitment,Agency
Region,Monaco,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"263,505",0,(Region) IFRC - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,"200,000",EUR,10/31/14,Paid contribution,Donor and Agency
Region,Monaco,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"66,845",0,(Region) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,"50,000",EUR,10/31/14,Paid contribution,Donor and Agency
Region,Motorola Foundation,UN Agencies (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"50,000",(Region) Donation of 50000 USD to support UNMEER response strategy,HEALTH,,USD,10/16/14,Pledge,Other
Region,Namibia,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"1,000,000",(region) Ebola response,HEALTH,,USD,9/25/14,Pledge,Donor
Region,Netherlands,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"6,305,170",0,(Region) Contribution to UNICEF Ebola Response activities within the scope of the UNICEF HAC Appeal for the Ebola Outbreak Response in West Africa. (27050),HEALTH,"5,000,000",EUR,11/11/14,Commitment,Donor
